Generator,Period,InvestmentCost_EurperMW
Lignite,1,1204661.1680419852
Lignite,2,664073.0234970851
LigniteCCS,1,2705326.9682557937
LigniteCCS,2,1644068.324687902
Coal,1,1085692.3126984688
Coal,2,597368.7286119221
CoalCCS,1,2473746.730813533
CoalCCS,2,1475708.2087618562
GasOCGT,1,522117.5598018751
GasOCGT,2,285440.74205195176
GasCCGT,1,675825.3928439886
GasCCGT,2,362766.3842643705
GasCCS,1,2068902.5224509165
GasCCS,2,1188975.5236333895
Oil,1,5009831.396931189
Oil,2,2808096.7260769485
Nuclear,1,3515694.5121112177
Nuclear,2,1959839.4594026962
Wave,1,1729963.515955288
Wave,2,769369.9236517356
Geo,1,1768903.6983151808
Geo,2,978198.223882776
Hydroregulated,1,1106224.6018782114
Hydroregulated,2,620245.7932358991
Hydrorun-of-the-river,1,820994.9808989317
Hydrorun-of-the-river,2,453127.382391377
Bio,1,1252889.5721986552
Bio,2,659165.9602588161
Windonshore,1,1370404.466711718
Windonshore,2,656605.5093094296
Windoffshoregrounded,1,1253254.35901363
Windoffshoregrounded,2,628422.8966228163
Windoffshorefloating,1,2306035.91273092
Windoffshorefloating,2,1154793.5113783053
Solar,1,439102.49313850596
Solar,2,200043.75001620958
BioCCS,1,1132825.3556065122
BioCCS,2,-39435.48454836686
Waste,1,1744742.0267371058
Waste,2,936594.5816108879
