Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
Coal	1	1650.0
CoalCCS	1	3360.0
Lignite	1	1800.0
LigniteCCS	1	3522.5
GasOCGT	1	760.3114934
GasCCGT	1	909.1836739
GasCCS	1	2852.0
Nuclear	1	6000.0
Wave	1	3467.0
Geo	1	2576.0
Bio	1	1966.666667
BioCCS	1	3862.5
Hydrorun-of-the-river	1	1692.5
Hydroregulated	1	2100.0
Windonshore	1	1180.0
Windoffshorefloating	1	3619.0
Windoffshoregrounded	1	1915.0
Solar	1	499.2647
Oil	1	9357.679918
Waste	1	2030.0
Coal	2	1650.0
CoalCCS	2	3270.0
Lignite	2	1800.0
LigniteCCS	2	3445.0
GasOCGT	2	744.3609026
GasCCGT	2	882.5993559
GasCCS	2	2852.0
Nuclear	2	6000.0
Wave	2	2664.0
Geo	2	2530.0
Bio	2	1933.333333
BioCCS	2	3675.0
Hydrorun-of-the-river	2	1670.0
Hydroregulated	2	2100.0
Windonshore	2	1150.0
Windoffshorefloating	2	3244.0
Windoffshoregrounded	2	1710.0
Solar	2	455.8824
Oil	2	9357.679918
Waste	2	2013.0
Coal	3	1650.0
CoalCCS	3	3222.5
Lignite	3	1800.0
LigniteCCS	3	3402.5
GasOCGT	3	739.044039
GasCCGT	3	874.6240606
GasCCS	3	2714.0
Nuclear	3	6000.0
Wave	3	2491.5
Geo	3	2484.0
Bio	3	1916.666667
BioCCS	3	3490.0
Hydrorun-of-the-river	3	1665.0
Hydroregulated	3	2100.0
Windonshore	3	1125.0
Windoffshorefloating	3	2869.0
Windoffshoregrounded	3	1546.0
Solar	3	412.5
Oil	3	9357.679918
Waste	3	2013.0
Coal	4	1650.0
CoalCCS	4	3175.0
Lignite	4	1800.0
LigniteCCS	4	3360.0
GasOCGT	4	733.7271754
GasCCGT	4	866.6487652
GasCCS	4	2576.0
Nuclear	4	6000.0
Wave	4	2319.0
Geo	4	2438.0
Bio	4	1900.0
BioCCS	4	3305.0
Hydrorun-of-the-river	4	1660.0
Hydroregulated	4	2100.0
Windonshore	4	1100.0
Windoffshorefloating	4	2494.0
Windoffshoregrounded	4	1414.0
Solar	4	392.4667
Oil	4	9357.679918
Waste	4	2005.0
Coal	5	1650.0
CoalCCS	5	3125.0
Lignite	5	1800.0
LigniteCCS	5	3315.0
GasOCGT	5	728.4103118
GasCCGT	5	858.6734698
GasCCS	5	2438.0
Nuclear	5	6000.0
Wave	5	2147.0
Geo	5	2392.0
Bio	5	1900.0
BioCCS	5	3255.0
Hydrorun-of-the-river	5	1655.0
Hydroregulated	5	2100.0
Windonshore	5	1095.0
Windoffshorefloating	5	2119.0
Windoffshoregrounded	5	1131.0
Solar	5	372.4333
Oil	5	9357.679918
Waste	5	2005.0
Coal	6	1650.0
CoalCCS	6	3075.0
Lignite	6	1800.0
LigniteCCS	6	3270.0
GasOCGT	6	723.0934482
GasCCGT	6	850.6981744
GasCCS	6	2300.0
Nuclear	6	6000.0
Wave	6	1975.0
Geo	6	2346.0
Bio	6	1900.0
BioCCS	6	3205.0
Hydrorun-of-the-river	6	1650.0
Hydroregulated	6	2100.0
Windonshore	6	1090.0
Windoffshorefloating	6	1744.0
Windoffshoregrounded	6	889.0
Solar	6	352.4
Oil	6	9357.679918
Waste	6	1997.0
Coal	7	1650.0
CoalCCS	7	3075.0
Lignite	7	1800.0
LigniteCCS	7	3270.0
GasOCGT	7	723.0934482
GasCCGT	7	850.6981744
GasCCS	7	2300.0
Nuclear	7	6000.0
Wave	7	1975.0
Geo	7	2346.0
Bio	7	1900.0
BioCCS	7	3205.0
Hydrorun-of-the-river	7	1650.0
Hydroregulated	7	2100.0
Windonshore	7	1090.0
Windoffshorefloating	7	1744.0
Windoffshoregrounded	7	889.0
Solar	7	352.4
Oil	7	9357.679918
Waste	7	1997.0
