line_id,factor
LTGES0645,1.638
TR_24f95bfa,1.54
TR_2ba8192a,1.502
TR_871b5827,1.496
TR_65a15878,1.34
LTGES0134,1.22
LTGES1146,1.114
TR_14c8e677,1.112
LTGES0441,1.104
LTGES1133,1.056
LTGES0333,1.038
TR_5b9e4f80,1.034
LTGES0348,1.008
LTGES0809,0.984
TR_10cbc112,0.958
LTGES0807,0.948
LTGES0315,0.938
LTGES0313,0.936
LTGES0804,0.928
LTGES0314,0.918
LTGES0460,0.918
LTGES0814,0.916
LTGES1000,0.902
TR_4cb0b32d,0.896
LTGES0829,0.872
LTGES0808,0.87
LTGES1328,0.844
TR_72a9d275,0.812
TR_1567d725,0.812
LTGES0542b,0.802
LTGES0542a,0.802
